timestamp,timestamp_absolute,timestamp_iso,cpu_cycles,instructions,cache_references,cache_misses,branches,branch_misses,page_faults,context_switches,cpu_utilization,cpu_user_time,cpu_system_time,cpu_nice_time,cpu_iowait,cpu_irq,cpu_softirq,cpu_steal,cpu_idle,memory_usage_percent,memory_available_gb,disk_io_read_mb,disk_io_write_mb,network_bytes_sent,network_bytes_recv,process_count,load_average_1min,load_average_5min,load_average_15min,instructions_per_cycle,cache_miss_ratio,branch_miss_ratio,cpu_efficiency,sys_cpu_user_seconds,sys_cpu_system_seconds,sys_cpu_total_seconds,sys_context_switches,sys_processes_created,sys_procs_running,sys_procs_blocked,collection_interval,time_delta_seconds,vm_hostname,core_count
101.0,1757535568.4332867,2025-09-10T16:19:27.038224,0,0,0,0,0,0,0,0,91.2280701754291,90.22556390976473,0.0,0.0,0.0,0.7518796992481819,0.0,0.25062656641617936,8.771929824570908,25.1,8.895004272460938,0.0,0.0,0,125,328,3.57373046875,2.91943359375,1.77490234375,0.0,0.0,0.0,0.9022556390976473,3.6,0.0,3.6,227,0,5,0,1.0,1.0000996589660645,fedora,4
102.0,1757535569.437905,2025-09-10T16:19:28.038224,0,0,0,0,0,0,0,0,91.24999999999051,89.99999999999051,0.0,0.0,0.0,0.7500000000000631,0.0,0.4999999999999236,8.750000000009498,25.1,8.895004272460938,0.0,0.0,0,73,328,3.57373046875,2.91943359375,1.77490234375,0.0,0.0,0.0,0.8999999999999051,3.6,0.0,3.6,228,0,5,0,1.0,1.0000979900360107,fedora,4
103.0,1757535570.4421546,2025-09-10T16:19:29.038224,0,0,0,0,0,0,0,0,91.20603015074576,90.2010050251176,0.0,0.0,0.0,0.7537688442210364,0.0,0.25125628140713113,8.793969849254232,25.1,8.895004272460938,0.0,0.0,0,52,328,3.52734375,2.9208984375,1.78173828125,0.0,0.0,0.0,0.902010050251176,3.59,0.0,3.59,221,0,5,0,1.0,1.000101089477539,fedora,4
104.0,1757535571.448295,2025-09-10T16:19:30.038224,0,0,0,0,0,0,0,0,91.52119700747922,90.02493765585848,0.0,0.0,0.0,0.7481296758103659,0.0,0.7481296758103659,8.478802992520789,25.1,8.895004272460938,0.0,0.0,42,115,328,3.52734375,2.9208984375,1.78173828125,0.0,0.0,0.0,0.9002493765585848,3.61,0.0,3.61,187,0,5,0,1.0,1.0000991821289062,fedora,4
105.0,1757535572.4532025,2025-09-10T16:19:31.038224,0,0,0,0,0,0,0,0,91.49999999999645,90.49999999999639,0.0,0.0,0.0,0.7500000000000211,0.25000000000003664,0.0,8.500000000003554,25.1,8.895004272460938,0.0,0.0,42,94,328,3.52734375,2.9208984375,1.78173828125,0.0,0.0,0.0,0.9049999999999639,3.62,0.0,3.62,185,0,4,0,1.0,1.0000903606414795,fedora,4
106.0,1757535573.4595635,2025-09-10T16:19:32.038224,0,0,0,0,0,0,0,0,90.99999999998755,89.99999999998799,0.0,0.0,0.0,0.7499999999998526,0.0,0.249999999999714,9.000000000012442,25.1,8.895004272460938,0.0,0.0,0,0,328,3.52734375,2.9208984375,1.78173828125,0.0,0.0,0.0,0.8999999999998799,3.6,0.0,3.6,219,0,5,0,1.0,1.0003564357757568,fedora,4
107.0,1757535574.4627755,2025-09-10T16:19:33.038224,0,0,0,0,0,0,0,0,87.18592964823605,84.6733668341659,1.758793969849029,0.0,0.0,0.5025125628139573,0.0,0.25125628140715717,12.814070351763945,25.1,8.895378112792969,0.0,0.0703125,0,218,328,3.52734375,2.9208984375,1.78173828125,0.0,0.0,0.0,0.8643216080401492,3.37,0.07,3.44,384,8,5,0,1.0,1.0001099109649658,fedora,4
108.0,1757535575.4655657,2025-09-10T16:19:34.038224,0,0,0,0,0,0,0,0,96.25000000000917,94.25000000000924,0.5000000000002469,0.0,0.0,0.9999999999997834,0.0,0.4999999999998917,3.7499999999908384,25.1,8.895244598388672,0.0,0.0078125,0,166,328,3.5654296875,2.93896484375,1.7939453125,0.0,0.0,0.0,0.9475000000000948,3.77,0.02,3.79,211,0,5,0,1.0,1.0004079341888428,fedora,4
109.0,1757535576.4685714,2025-09-10T16:19:35.038224,0,0,0,0,0,0,0,0,96.7418546365675,94.98746867165588,0.0,0.0,0.0,0.751879699247791,0.0,1.00250626566384,3.2581453634325,25.1,8.895244598388672,0.0,0.0,0,52,328,3.5654296875,2.93896484375,1.7939453125,0.0,0.0,0.0,0.9498746867165587,3.79,0.0,3.79,212,0,5,0,1.0,1.0007779598236084,fedora,4
110.0,1757535577.474574,2025-09-10T16:19:36.038224,0,0,0,0,0,0,0,0,97.01492537315893,92.28855721395387,0.0,0.0,0.0,0.7462686567166289,0.0,3.9800995024884522,2.9850746268410635,25.1,8.895244598388672,0.0,0.0,0,166,328,3.5654296875,2.93896484375,1.7939453125,0.0,0.0,0.0,0.9228855721395387,3.71,0.0,3.71,198,0,5,0,1.0,1.0008924007415771,fedora,4
